Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
16/03/2025 18.20.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
16/03/2025 16.30.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
16/03/2025 16.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
16/03/2025 15.30.00,Banjir,Jember Kabupaten,Hujan Lebat,SEDANG
16/03/2025 05.30.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
15/03/2025 22.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
15/03/2025 21.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
15/03/2025 20.00.00,Banjir,Surabaya Kota,Hujan lebat,RENDAH
15/03/2025 19.47.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
15/03/2025 19.47.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
15/03/2025 19.47.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
15/03/2025 19.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
15/03/2025 19.00.00,Banjir,Gresik Kabupaten,Cerah,RENDAH
15/03/2025 18.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
15/03/2025 18.30.00,Banjir,Pasuruan Kabupaten,Hujan Sedang - Lebat,RENDAH
15/03/2025 17.30.00,Banjir,Tuban Kabupaten,Hujan Lebat,RENDAH
15/03/2025 17.15.00,Banjir,Trenggalek Kabupaten,Hujan lebat,RENDAH
15/03/2025 17.00.00,Banjir,Pasuruan Kota,Hujan lebat,RENDAH
15/03/2025 16.10.00,Banjir,Madiun Kota,Hujan lebat,RENDAH
15/03/2025 15.43.00,Banjir,Bondowoso Kabupaten,Hujan lebat,RENDAH
15/03/2025 14.45.00,Banjir,Trenggalek Kabupaten,Hujan Sedang - Tinggi,RENDAH
14/03/2025 21.30.00,Banjir,Nganjuk Kabupaten,Cerah Berawan,RENDAH
14/03/2025 18.15.00,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
12/03/2025 23.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
12/03/2025 19.17.00,Banjir Bandang,Bondowoso Kabupaten,Hujan Sangat Lebat,SEDANG
12/03/2025 19.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
11/03/2025 20.10.00,Banjir,Pasuruan Kabupaten,Hujan Sedang,RENDAH
10/03/2025 16.00.00,Banjir,Tuban Kabupaten,Hujan,RENDAH
10/03/2025 15.00.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,SEDANG
10/03/2025 12.00.00,Banjir,Sumenep Kabupaten,Hujan Lebat,RENDAH
10/03/2025 09.00.00,Banjir,Magetan Kabupaten,Hujan,RENDAH
10/03/2025 01.00.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
09/03/2025 03.00.00,Banjir,Lamongan Kabupaten,Hujan Sedang - Lebat,RENDAH
09/03/2025 03.00.00,Banjir,Tuban Kabupaten,Hujan Sedang - Lebat,RENDAH
08/03/2025 15.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,SEDANG
08/03/2025 12.30.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
07/03/2025 23.00.00,Banjir,Nganjuk Kabupaten,Hujan Sedang,RENDAH
07/03/2025 19.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
07/03/2025 19.00.00,Banjir Bandang,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
07/03/2025 17.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
07/03/2025 13.00.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,SEDANG
06/03/2025 23.55.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
06/03/2025 23.00.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
06/03/2025 21.48.42,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
06/03/2025 21.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
06/03/2025 21.20.00,Banjir,Sampang Kabupaten,Hujan,SEDANG
06/03/2025 21.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
06/03/2025 21.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
06/03/2025 19.00.00,Banjir,Bojonegoro Kabupaten,Hujan lebat,TINGGI
01/03/2025 20.00.00,Banjir,Nganjuk Kabupaten,Cerah Berawan,RENDAH
